Date,Holiday Name,Holiday Flag,Weekly Holiday
04-07-2022,,0,0
05-07-2022,,0,0
06-07-2022,,0,0
07-07-2022,,0,0
08-07-2022,,0,0
09-07-2022,,0,0
10-07-2022,Bakrid,1,1
11-07-2022,,0,0
12-07-2022,,0,0
13-07-2022,Guru Purnima,1,0
14-07-2022,,0,0
15-07-2022,,0,0
16-07-2022,,0,0
17-07-2022,,0,1
18-07-2022,,0,0
19-07-2022,,0,0
20-07-2022,,0,0
21-07-2022,,0,0
22-07-2022,,0,0
23-07-2022,,0,0
24-07-2022,,0,1
25-07-2022,,0,0
26-07-2022,,0,0
27-07-2022,,0,0
28-07-2022,,0,0
29-07-2022,,0,0
30-07-2022,,0,0
31-07-2022,,0,1
01-08-2022,,0,0
02-08-2022,,0,0
03-08-2022,,0,0
04-08-2022,,0,0
05-08-2022,,0,0
06-08-2022,,0,0
07-08-2022,Friendship Day,1,1
08-08-2022,,0,0
09-08-2022,Muharram/Ashura,1,0
10-08-2022,,0,0
11-08-2022,Raksha Bandhan (Rakhi),1,0
12-08-2022,,0,0
13-08-2022,,0,0
14-08-2022,,0,1
15-08-2022,Independence Day,1,0
16-08-2022,Parsi New Year,1,0
17-08-2022,,0,0
18-08-2022,Janmashtami (Smarta),1,0
19-08-2022,Janmashtami,1,0
20-08-2022,,0,0
21-08-2022,,0,1
22-08-2022,,0,0
23-08-2022,,0,0
24-08-2022,,0,0
25-08-2022,,0,0
26-08-2022,,0,0
27-08-2022,,0,0
28-08-2022,,0,1
29-08-2022,,0,0
30-08-2022,,0,0
31-08-2022,Ganesh Chaturthi/Vinayaka Chaturthi,1,0
01-09-2022,,0,0
02-09-2022,,0,0
03-09-2022,,0,0
04-09-2022,,0,1
05-09-2022,,0,0
06-09-2022,,0,0
07-09-2022,,0,0
08-09-2022,Onam,1,0
09-09-2022,,0,0
10-09-2022,,0,0
11-09-2022,,0,1
12-09-2022,,0,0
13-09-2022,,0,0
14-09-2022,,0,0
15-09-2022,,0,0
16-09-2022,,0,0
17-09-2022,,0,0
18-09-2022,,0,1
19-09-2022,,0,0
20-09-2022,,0,0
21-09-2022,,0,0
22-09-2022,,0,0
23-09-2022,September Equinox,1,0
24-09-2022,,0,0
25-09-2022,,0,1
26-09-2022,First Day of Sharad Navratri,1,0
27-09-2022,,0,0
28-09-2022,,0,0
29-09-2022,,0,0
30-09-2022,,0,0
01-10-2022,First Day of Durga Puja Festivities,1,0
02-10-2022,Maha Saptami,1,1
03-10-2022,Maha Ashtami,1,0
04-10-2022,Maha Navami,1,0
05-10-2022,Dussehra,1,0
06-10-2022,,0,0
07-10-2022,,0,0
08-10-2022,,0,0
09-10-2022,Milad un-Nabi/Id-e-Milad,1,1
10-10-2022,,0,0
11-10-2022,,0,0
12-10-2022,,0,0
13-10-2022,Karaka Chaturthi (Karva Chauth),1,0
14-10-2022,,0,0
15-10-2022,,0,0
16-10-2022,,0,1
17-10-2022,,0,0
18-10-2022,,0,0
19-10-2022,,0,0
20-10-2022,,0,0
21-10-2022,,0,0
22-10-2022,,0,0
23-10-2022,,0,1
24-10-2022,Diwali/Deepavali,1,0
25-10-2022,Govardhan Puja,1,0
26-10-2022,Bhai Duj,1,0
27-10-2022,,0,0
28-10-2022,,0,0
29-10-2022,,0,0
30-10-2022,Chhat Puja (Pratihar Sashthi/Surya Sashthi),1,1
31-10-2022,Halloween,1,0
01-11-2022,,0,0
02-11-2022,,0,0
03-11-2022,,0,0
04-11-2022,,0,0
05-11-2022,,0,0
06-11-2022,,0,1
07-11-2022,,0,0
08-11-2022,Guru Nanak Jayanti,1,0
09-11-2022,,0,0
10-11-2022,,0,0
11-11-2022,,0,0
12-11-2022,,0,0
13-11-2022,,0,1
14-11-2022,,0,0
15-11-2022,,0,0
16-11-2022,,0,0
17-11-2022,,0,0
18-11-2022,,0,0
19-11-2022,,0,0
20-11-2022,,0,1
21-11-2022,,0,0
22-11-2022,,0,0
23-11-2022,,0,0
24-11-2022,Guru Tegh Bahadur's Martyrdom Day,1,0
25-11-2022,,0,0
26-11-2022,,0,0
27-11-2022,,0,1
28-11-2022,,0,0
29-11-2022,,0,0
30-11-2022,,0,0
01-12-2022,,0,0
02-12-2022,,0,0
03-12-2022,,0,0
04-12-2022,,0,1
05-12-2022,,0,0
06-12-2022,,0,0
07-12-2022,,0,0
08-12-2022,,0,0
09-12-2022,,0,0
10-12-2022,,0,0
11-12-2022,,0,1
12-12-2022,,0,0
13-12-2022,,0,0
14-12-2022,,0,0
15-12-2022,,0,0
16-12-2022,,0,0
17-12-2022,,0,0
18-12-2022,,0,1
19-12-2022,First Day of Hanukkah,1,0
20-12-2022,,0,0
21-12-2022,,0,0
22-12-2022,December Solstice,1,0
23-12-2022,,0,0
24-12-2022,Christmas Eve,1,0
25-12-2022,Christmas,1,1
26-12-2022,Last day of Hanukkah,1,0
27-12-2022,,0,0
28-12-2022,,0,0
29-12-2022,Guru Govind Singh Jayanti,1,0
30-12-2022,,0,0
31-12-2022,New Year's Eve,1,0
01-01-2023,New Year's Day,1,1
02-01-2023,,0,0
03-01-2023,,0,0
04-01-2023,,0,0
05-01-2023,,0,0
06-01-2023,,0,0
07-01-2023,,0,0
08-01-2023,,0,1
09-01-2023,,0,0
10-01-2023,,0,0
11-01-2023,,0,0
12-01-2023,,0,0
13-01-2023,,0,0
14-01-2023,Lohri,1,0
15-01-2023,Pongal,1,1
16-01-2023,,0,0
17-01-2023,,0,0
18-01-2023,,0,0
19-01-2023,,0,0
20-01-2023,,0,0
21-01-2023,,0,0
22-01-2023,Lunar New Year,1,1
23-01-2023,,0,0
24-01-2023,,0,0
25-01-2023,,0,0
26-01-2023,Vasant Panchami,1,0
27-01-2023,,0,0
28-01-2023,,0,0
29-01-2023,,0,1
30-01-2023,,0,0
31-01-2023,,0,0
01-02-2023,,0,0
02-02-2023,,0,0
03-02-2023,,0,0
04-02-2023,,0,0
05-02-2023,Hazarat Ali's Birthday,1,1
06-02-2023,,0,0
07-02-2023,,0,0
08-02-2023,,0,0
09-02-2023,,0,0
10-02-2023,,0,0
11-02-2023,,0,0
12-02-2023,,0,1
13-02-2023,,0,0
14-02-2023,Valentine's Day,1,0
15-02-2023,Maharishi Dayanand Saraswati Jayanti,1,0
16-02-2023,,0,0
17-02-2023,,0,0
18-02-2023,Maha Shivaratri/Shivaratri,1,0
19-02-2023,Shivaji Jayanti,1,1
20-02-2023,,0,0
21-02-2023,,0,0
22-02-2023,,0,0
23-02-2023,,0,0
24-02-2023,,0,0
25-02-2023,,0,0
26-02-2023,,0,1
27-02-2023,,0,0
28-02-2023,,0,0
01-03-2023,,0,0
02-03-2023,,0,0
03-03-2023,,0,0
04-03-2023,,0,0
05-03-2023,,0,1
06-03-2023,,0,0
07-03-2023,Holika Dahana,1,0
08-03-2023,Holi,1,0
09-03-2023,,0,0
10-03-2023,,0,0
11-03-2023,,0,0
12-03-2023,,0,1
13-03-2023,,0,0
14-03-2023,,0,0
15-03-2023,,0,0
16-03-2023,,0,0
17-03-2023,,0,0
18-03-2023,,0,0
19-03-2023,,0,1
20-03-2023,,0,0
21-03-2023,March Equinox,1,0
22-03-2023,Gudi Padwa,1,0
23-03-2023,,0,0
24-03-2023,Ramadan Start,1,0
25-03-2023,,0,0
26-03-2023,,0,1
27-03-2023,,0,0
28-03-2023,,0,0
29-03-2023,,0,0
30-03-2023,Rama Navami,1,0
31-03-2023,,0,0
01-04-2023,,0,0
02-04-2023,,0,1
03-04-2023,,0,0
04-04-2023,Mahavir Jayanti,1,0
05-04-2023,,0,0
06-04-2023,Maundy Thursday,1,0
07-04-2023,Good Friday,1,0
08-04-2023,,0,0
09-04-2023,Easter Day,1,1
10-04-2023,,0,0
11-04-2023,,0,0
12-04-2023,,0,0
13-04-2023,,0,0
14-04-2023,Ambedkar Jayanti,1,0
15-04-2023,Mesadi / Vaisakhadi,1,0
16-04-2023,,0,1
17-04-2023,,0,0
18-04-2023,,0,0
19-04-2023,,0,0
20-04-2023,,0,0
21-04-2023,Jamat Ul-Vida,1,0
22-04-2023,Ramzan Id/Eid-ul-Fitar,1,0
23-04-2023,,0,1
24-04-2023,,0,0
25-04-2023,,0,0
26-04-2023,,0,0
27-04-2023,,0,0
28-04-2023,,0,0
29-04-2023,,0,0
30-04-2023,,0,1
01-05-2023,International Worker's Day,1,0
02-05-2023,,0,0
03-05-2023,,0,0
04-05-2023,,0,0
05-05-2023,Buddha Purnima/Vesak,1,0
06-05-2023,,0,0
07-05-2023,,0,1
08-05-2023,,0,0
09-05-2023,Birthday of Rabindranath,1,0
10-05-2023,,0,0
11-05-2023,,0,0
12-05-2023,,0,0
13-05-2023,,0,0
14-05-2023,Mothers' Day,1,1
15-05-2023,,0,0
16-05-2023,,0,0
17-05-2023,,0,0
18-05-2023,,0,0
19-05-2023,,0,0
20-05-2023,,0,0
21-05-2023,,0,1
22-05-2023,,0,0
23-05-2023,,0,0
24-05-2023,,0,0
25-05-2023,,0,0
26-05-2023,,0,0
27-05-2023,,0,0
28-05-2023,,0,1
29-05-2023,,0,0
30-05-2023,,0,0
31-05-2023,,0,0
01-06-2023,,0,0
02-06-2023,,0,0
03-06-2023,,0,0
04-06-2023,,0,1
05-06-2023,,0,0
06-06-2023,,0,0
07-06-2023,,0,0
08-06-2023,,0,0
09-06-2023,,0,0
10-06-2023,,0,0
11-06-2023,,0,1
12-06-2023,,0,0
13-06-2023,,0,0
14-06-2023,,0,0
15-06-2023,,0,0
16-06-2023,,0,0
17-06-2023,,0,0
18-06-2023,Fathers' Day,1,1
19-06-2023,,0,0
20-06-2023,Rath Yatra,1,0
21-06-2023,June Solstice,1,0
22-06-2023,,0,0
23-06-2023,,0,0
24-06-2023,,0,0
25-06-2023,,0,1
26-06-2023,,0,0
27-06-2023,,0,0
28-06-2023,,0,0
29-06-2023,Bakrid,1,0
30-06-2023,,0,0
01-07-2023,,0,0
02-07-2023,,0,1
03-07-2023,Guru Purnima,1,0
04-07-2023,,0,0
05-07-2023,,0,0
06-07-2023,,0,0
07-07-2023,,0,0
08-07-2023,,0,0
09-07-2023,,0,1
10-07-2023,,0,0
11-07-2023,,0,0
12-07-2023,,0,0
13-07-2023,,0,0
14-07-2023,,0,0
15-07-2023,,0,0
16-07-2023,,0,1
17-07-2023,,0,0
18-07-2023,,0,0
19-07-2023,,0,0
20-07-2023,,0,0
21-07-2023,,0,0
22-07-2023,,0,0
23-07-2023,,0,1
24-07-2023,,0,0
25-07-2023,,0,0
26-07-2023,,0,0
27-07-2023,,0,0
28-07-2023,,0,0
29-07-2023,Muharram/Ashura,1,0
30-07-2023,,0,1
31-07-2023,,0,0
01-08-2023,,0,0
02-08-2023,,0,0
03-08-2023,,0,0
04-08-2023,,0,0
05-08-2023,,0,0
06-08-2023,Friendship Day,1,1
07-08-2023,,0,0
08-08-2023,,0,0
09-08-2023,,0,0
10-08-2023,,0,0
11-08-2023,,0,0
12-08-2023,,0,0
13-08-2023,,0,1
14-08-2023,,0,0
15-08-2023,Independence Day,1,0
16-08-2023,Parsi New Year,1,0
17-08-2023,,0,0
18-08-2023,,0,0
19-08-2023,,0,0
20-08-2023,Vinayaka Chathurthi,1,1
21-08-2023,,0,0
22-08-2023,,0,0
23-08-2023,,0,0
24-08-2023,,0,0
25-08-2023,,0,0
26-08-2023,,0,0
27-08-2023,,0,1
28-08-2023,,0,0
29-08-2023,Onam,1,0
30-08-2023,Raksha Bandhan (Rakhi),1,0
31-08-2023,,0,0
01-09-2023,,0,0
02-09-2023,,0,0
03-09-2023,,0,1
04-09-2023,,0,0
05-09-2023,,0,0
06-09-2023,Janmashtami (Smarta),1,0
07-09-2023,Janmashtami,1,0
08-09-2023,,0,0
09-09-2023,,0,0
10-09-2023,,0,1
11-09-2023,,0,0
12-09-2023,,0,0
13-09-2023,,0,0
14-09-2023,,0,0
15-09-2023,,0,0
16-09-2023,,0,0
17-09-2023,,0,1
18-09-2023,,0,0
19-09-2023,Ganesh Chaturthi/Vinayaka Chaturthi,1,0
20-09-2023,,0,0
21-09-2023,,0,0
22-09-2023,,0,0
23-09-2023,September Equinox,1,0
24-09-2023,,0,1
25-09-2023,,0,0
26-09-2023,,0,0
27-09-2023,,0,0
28-09-2023,Milad un-Nabi/Id-e-Milad,1,0
29-09-2023,,0,0
30-09-2023,,0,0
01-10-2023,,0,1
02-10-2023,Mahatma Gandhi Jayanti,1,0
03-10-2023,,0,0
04-10-2023,,0,0
05-10-2023,,0,0
06-10-2023,,0,0
07-10-2023,,0,0
08-10-2023,,0,1
09-10-2023,,0,0
10-10-2023,,0,0
11-10-2023,,0,0
12-10-2023,,0,0
13-10-2023,,0,0
14-10-2023,,0,0
15-10-2023,First Day of Sharad Navratri,1,1
16-10-2023,,0,0
17-10-2023,,0,0
18-10-2023,,0,0
19-10-2023,,0,0
20-10-2023,First Day of Durga Puja Festivities,1,0
21-10-2023,Maha Saptami,1,0
22-10-2023,Maha Ashtami,1,1
23-10-2023,Maha Navami,1,0
24-10-2023,Dussehra,1,0
25-10-2023,,0,0
26-10-2023,,0,0
27-10-2023,,0,0
28-10-2023,Maharishi Valmiki Jayanti,1,0
29-10-2023,,0,1
30-10-2023,,0,0
31-10-2023,Halloween,1,0
01-11-2023,Karaka Chaturthi (Karva Chauth),1,0
02-11-2023,,0,0
03-11-2023,,0,0
04-11-2023,,0,0
05-11-2023,,0,1
06-11-2023,,0,0
07-11-2023,,0,0
08-11-2023,,0,0
09-11-2023,,0,0
10-11-2023,,0,0
11-11-2023,,0,0
12-11-2023,Diwali/Deepavali,1,1
13-11-2023,Govardhan Puja,1,0
14-11-2023,,0,0
15-11-2023,Bhai Duj,1,0
16-11-2023,,0,0
17-11-2023,,0,0
18-11-2023,,0,0
19-11-2023,Chhat Puja (Pratihar Sashthi/Surya Sashthi),1,1
20-11-2023,,0,0
21-11-2023,,0,0
22-11-2023,,0,0
23-11-2023,,0,0
24-11-2023,Guru Tegh Bahadur's Martyrdom Day,1,0
25-11-2023,,0,0
26-11-2023,,0,1
27-11-2023,Guru Nanak Jayanti,1,0
28-11-2023,,0,0
29-11-2023,,0,0
30-11-2023,,0,0
01-12-2023,,0,0
02-12-2023,,0,0
03-12-2023,,0,1
04-12-2023,,0,0
05-12-2023,,0,0
06-12-2023,,0,0
07-12-2023,,0,0
08-12-2023,First Day of Hanukkah,1,0
09-12-2023,,0,0
10-12-2023,,0,1
11-12-2023,,0,0
12-12-2023,,0,0
13-12-2023,,0,0
14-12-2023,,0,0
15-12-2023,Last day of Hanukkah,1,0
16-12-2023,,0,0
17-12-2023,,0,1
18-12-2023,,0,0
19-12-2023,,0,0
20-12-2023,,0,0
21-12-2023,,0,0
22-12-2023,December Solstice,1,0
23-12-2023,,0,0
24-12-2023,Christmas Eve,1,1
25-12-2023,Christmas,1,0
26-12-2023,,0,0
27-12-2023,,0,0
28-12-2023,,0,0
29-12-2023,,0,0
30-12-2023,,0,0
31-12-2023,New Year's Eve,1,1
01-01-2024,New Year's Day,1,0
02-01-2024,,0,0
03-01-2024,,0,0
04-01-2024,,0,0
05-01-2024,,0,0
06-01-2024,,0,0
07-01-2024,,0,1
08-01-2024,,0,0
09-01-2024,,0,0
10-01-2024,,0,0
11-01-2024,,0,0
12-01-2024,,0,0
13-01-2024,Lohri,1,0
14-01-2024,Makar Sankranti,1,1
15-01-2024,Pongal,1,0
16-01-2024,,0,0
17-01-2024,Guru Govind Singh Jayanti,1,0
18-01-2024,,0,0
19-01-2024,,0,0
20-01-2024,,0,0
21-01-2024,,0,1
22-01-2024,,0,0
23-01-2024,,0,0
24-01-2024,,0,0
25-01-2024,Hazarat Ali's Birthday,1,0
26-01-2024,Republic Day,1,0
27-01-2024,,0,0
28-01-2024,,0,1
29-01-2024,,0,0
30-01-2024,,0,0
31-01-2024,,0,0
01-02-2024,,0,0
02-02-2024,,0,0
03-02-2024,,0,0
04-02-2024,,0,1
05-02-2024,,0,0
06-02-2024,,0,0
07-02-2024,,0,0
08-02-2024,,0,0
09-02-2024,,0,0
10-02-2024,Lunar New Year,1,0
11-02-2024,,0,1
12-02-2024,,0,0
13-02-2024,,0,0
14-02-2024,Valentine's Day,1,0
15-02-2024,,0,0
16-02-2024,,0,0
17-02-2024,,0,0
18-02-2024,,0,1
19-02-2024,Shivaji Jayanti,1,0
20-02-2024,,0,0
21-02-2024,,0,0
22-02-2024,,0,0
23-02-2024,,0,0
24-02-2024,Guru Ravidas Jayanti,1,0
25-02-2024,,0,1
26-02-2024,,0,0
27-02-2024,,0,0
28-02-2024,,0,0
29-02-2024,,0,0
01-03-2024,,0,0
02-03-2024,,0,0
03-03-2024,,0,1
04-03-2024,,0,0
05-03-2024,,0,0
06-03-2024,Maharishi Dayanand Saraswati Jayanti,1,0
07-03-2024,,0,0
08-03-2024,Maha Shivaratri/Shivaratri,1,0
09-03-2024,,0,0
10-03-2024,,0,1
11-03-2024,,0,0
12-03-2024,Ramadan Start,1,0
13-03-2024,,0,0
14-03-2024,,0,0
15-03-2024,,0,0
16-03-2024,,0,0
17-03-2024,,0,1
18-03-2024,,0,0
19-03-2024,,0,0
20-03-2024,March Equinox,1,0
21-03-2024,,0,0
22-03-2024,,0,0
23-03-2024,,0,0
24-03-2024,Holika Dahana,1,1
25-03-2024,Dolyatra,1,0
26-03-2024,,0,0
27-03-2024,,0,0
28-03-2024,Maundy Thursday,1,0
29-03-2024,Good Friday,1,0
30-03-2024,,0,0
31-03-2024,Easter Day,1,1
01-04-2024,,0,0
02-04-2024,,0,0
03-04-2024,,0,0
04-04-2024,,0,0
05-04-2024,Jamat Ul-Vida,1,0
06-04-2024,,0,0
07-04-2024,,0,1
08-04-2024,,0,0
09-04-2024,Gudi Padwa,1,0
10-04-2024,,0,0
11-04-2024,Ramzan Id/Eid-ul-Fitar,1,0
12-04-2024,,0,0
13-04-2024,Vaisakhi,1,0
14-04-2024,Ambedkar Jayanti,1,1
15-04-2024,,0,0
16-04-2024,,0,0
17-04-2024,Rama Navami,1,0
18-04-2024,,0,0
19-04-2024,,0,0
20-04-2024,,0,0
21-04-2024,Mahavir Jayanti,1,1
22-04-2024,,0,0
23-04-2024,First day of Passover,1,0
24-04-2024,,0,0
25-04-2024,,0,0
26-04-2024,,0,0
27-04-2024,,0,0
28-04-2024,,0,1
29-04-2024,,0,0
30-04-2024,,0,0
01-05-2024,International Worker's Day,1,0
02-05-2024,,0,0
03-05-2024,,0,0
04-05-2024,,0,0
05-05-2024,,0,1
06-05-2024,,0,0
07-05-2024,,0,0
08-05-2024,Birthday of Rabindranath,1,0
09-05-2024,,0,0
10-05-2024,,0,0
11-05-2024,,0,0
12-05-2024,Mothers' Day,1,1
13-05-2024,,0,0
14-05-2024,,0,0
15-05-2024,,0,0
16-05-2024,,0,0
17-05-2024,,0,0
18-05-2024,,0,0
19-05-2024,,0,1
20-05-2024,,0,0
21-05-2024,,0,0
22-05-2024,,0,0
23-05-2024,Buddha Purnima/Vesak,1,0
24-05-2024,,0,0
25-05-2024,,0,0
26-05-2024,,0,1
27-05-2024,,0,0
28-05-2024,,0,0
29-05-2024,,0,0
30-05-2024,,0,0
31-05-2024,,0,0
01-06-2024,,0,0
02-06-2024,,0,1
03-06-2024,,0,0
04-06-2024,,0,0
05-06-2024,,0,0
06-06-2024,,0,0
07-06-2024,,0,0
08-06-2024,,0,0
09-06-2024,,0,1
10-06-2024,,0,0
11-06-2024,,0,0
12-06-2024,,0,0
13-06-2024,,0,0
14-06-2024,,0,0
15-06-2024,,0,0
16-06-2024,Fathers' Day,1,1
17-06-2024,Bakrid,1,0
18-06-2024,,0,0
19-06-2024,,0,0
20-06-2024,,0,0
21-06-2024,June Solstice,1,0
22-06-2024,,0,0
23-06-2024,,0,1
24-06-2024,,0,0
25-06-2024,,0,0
26-06-2024,,0,0
27-06-2024,,0,0
28-06-2024,,0,0
29-06-2024,,0,0
30-06-2024,,0,1
01-07-2024,,0,0
02-07-2024,,0,0
03-07-2024,,0,0
04-07-2024,,0,0
05-07-2024,,0,0
06-07-2024,,0,0
07-07-2024,Rath Yatra,1,1
08-07-2024,,0,0
09-07-2024,,0,0
10-07-2024,,0,0
11-07-2024,,0,0
12-07-2024,,0,0
13-07-2024,,0,0
14-07-2024,,0,1
15-07-2024,,0,0
16-07-2024,,0,0
17-07-2024,Muharram/Ashura,1,0
18-07-2024,,0,0
19-07-2024,,0,0
20-07-2024,,0,0
21-07-2024,Guru Purnima,1,1
22-07-2024,,0,0
23-07-2024,,0,0
24-07-2024,,0,0
25-07-2024,,0,0
26-07-2024,,0,0
27-07-2024,,0,0
28-07-2024,,0,1
29-07-2024,,0,0
30-07-2024,,0,0
31-07-2024,,0,0
01-08-2024,,0,0
02-08-2024,,0,0
03-08-2024,,0,0
04-08-2024,Friendship Day,1,1
05-08-2024,,0,0
06-08-2024,,0,0
07-08-2024,,0,0
08-08-2024,,0,0
09-08-2024,,0,0
10-08-2024,,0,0
11-08-2024,,0,1
12-08-2024,,0,0
13-08-2024,,0,0
14-08-2024,,0,0
15-08-2024,Parsi New Year,1,0
16-08-2024,,0,0
17-08-2024,,0,0
18-08-2024,,0,1
19-08-2024,Raksha Bandhan (Rakhi),1,0
20-08-2024,,0,0
21-08-2024,,0,0
22-08-2024,,0,0
23-08-2024,,0,0
24-08-2024,,0,0
25-08-2024,,0,1
26-08-2024,Janmashtami (Smarta),1,0
27-08-2024,,0,0
28-08-2024,,0,0
29-08-2024,,0,0
30-08-2024,,0,0
31-08-2024,,0,0
01-09-2024,,0,1
02-09-2024,,0,0
03-09-2024,,0,0
04-09-2024,,0,0
05-09-2024,,0,0
06-09-2024,,0,0
07-09-2024,Ganesh Chaturthi/Vinayaka Chaturthi,1,0
08-09-2024,,0,1
09-09-2024,,0,0
10-09-2024,,0,0
11-09-2024,,0,0
12-09-2024,,0,0
13-09-2024,,0,0
14-09-2024,,0,0
15-09-2024,Onam,1,1
16-09-2024,Milad un-Nabi/Id-e-Milad,1,0
17-09-2024,,0,0
18-09-2024,,0,0
19-09-2024,,0,0
20-09-2024,,0,0
21-09-2024,,0,0
22-09-2024,September Equinox,1,1
23-09-2024,,0,0
24-09-2024,,0,0
25-09-2024,,0,0
26-09-2024,,0,0
27-09-2024,,0,0
28-09-2024,,0,0
29-09-2024,,0,1
30-09-2024,,0,0
01-10-2024,,0,0
02-10-2024,Mahatma Gandhi Jayanti,1,0
03-10-2024,First Day of Sharad Navratri,1,0
04-10-2024,,0,0
05-10-2024,,0,0
06-10-2024,,0,1
07-10-2024,,0,0
08-10-2024,,0,0
09-10-2024,First Day of Durga Puja Festivities,1,0
10-10-2024,Maha Saptami,1,0
11-10-2024,Maha Ashtami,1,0
12-10-2024,Dussehra,1,0
13-10-2024,,0,1
14-10-2024,,0,0
15-10-2024,,0,0
16-10-2024,,0,0
17-10-2024,Maharishi Valmiki Jayanti,1,0
18-10-2024,,0,0
19-10-2024,,0,0
20-10-2024,Karaka Chaturthi (Karva Chauth),1,1
21-10-2024,,0,0
22-10-2024,,0,0
23-10-2024,,0,0
24-10-2024,,0,0
25-10-2024,,0,0
26-10-2024,,0,0
27-10-2024,,0,1
28-10-2024,,0,0
29-10-2024,,0,0
30-10-2024,,0,0
31-10-2024,Diwali/Deepavali,1,0
01-11-2024,,0,0
02-11-2024,Govardhan Puja,1,0
03-11-2024,Bhai Duj,1,1
04-11-2024,,0,0
05-11-2024,,0,0
06-11-2024,,0,0
07-11-2024,Chhat Puja (Pratihar Sashthi/Surya Sashthi),1,0
08-11-2024,,0,0
09-11-2024,,0,0
10-11-2024,,0,1
11-11-2024,,0,0
12-11-2024,,0,0
13-11-2024,,0,0
14-11-2024,,0,0
15-11-2024,Guru Nanak Jayanti,1,0
16-11-2024,,0,0
17-11-2024,,0,1
18-11-2024,,0,0
19-11-2024,,0,0
20-11-2024,,0,0
21-11-2024,,0,0
22-11-2024,,0,0
23-11-2024,,0,0
24-11-2024,Guru Tegh Bahadur's Martyrdom Day,1,1
25-11-2024,,0,0
26-11-2024,,0,0
27-11-2024,,0,0
28-11-2024,,0,0
29-11-2024,,0,0
30-11-2024,,0,0
01-12-2024,,0,1
02-12-2024,,0,0
03-12-2024,,0,0
04-12-2024,,0,0
05-12-2024,,0,0
06-12-2024,,0,0
07-12-2024,,0,0
08-12-2024,,0,1
09-12-2024,,0,0
10-12-2024,,0,0
11-12-2024,,0,0
12-12-2024,,0,0
13-12-2024,,0,0
14-12-2024,,0,0
15-12-2024,,0,1
16-12-2024,,0,0
17-12-2024,,0,0
18-12-2024,,0,0
19-12-2024,,0,0
20-12-2024,,0,0
21-12-2024,December Solstice,1,0
22-12-2024,,0,1
23-12-2024,,0,0
24-12-2024,Christmas Eve,1,0
25-12-2024,Christmas,1,0
26-12-2024,First Day of Hanukkah,1,0
27-12-2024,,0,0
28-12-2024,,0,0
29-12-2024,,0,1
30-12-2024,,0,0
31-12-2024,New Year's Eve,1,0
